work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2021,EN,FT,Data Science Consultant,65000,EUR,77481,DE,100,DE,S
2021,SE,FT,Marketing Data Analyst,75000,EUR,89402,GR,100,DK,L
2021,SE,FT,Lead Data Engineer,75000,GBP,103750,GB,100,GB,S
2021,SE,FT,Director of Data Engineering,82500,GBP,114125,GB,100,GB,M
2021,SE,FT,Machine Learning Engineer,80000,EUR,95362,DE,50,DE,L
2021,EN,FT,Data Engineer,2250000,INR,30509,IN,100,IN,L
2021,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M
2021,SE,FT,Data Engineer,115000,USD,115000,US,100,US,S
2021,MI,FT,Research Scientist,235000,CAD,187917,CA,100,CA,L
2021,MI,FT,Data Analyst,37456,GBP,51814,GB,50,GB,L
2021,MI,FT,BI Data Analyst,11000000,HUF,36732,HU,50,US,L
2021,SE,FT,Data Engineer,150000,USD,150000,US,100,US,L
2021,MI,FT,Computer Vision Software Engineer,81000,EUR,96554,DE,100,US,S
2021,EN,FT,Computer Vision Software Engineer,70000,USD,70000,US,100,US,M
2021,MI,FT,Financial Data Analyst,450000,USD,450000,US,100,US,L
2021,MI,FT,Cloud Data Engineer,120000,SGD,89514,SG,50,SG,L
2021,EN,FT,Data Scientist,2200000,INR,29831,IN,50,IN,L
2021,SE,FT,Lead Data Engineer,276000,USD,276000,US,0,US,L
2021,SE,FT,Cloud Data Engineer,160000,USD,160000,BR,100,US,S
2021,MI,FT,Data Engineer,200000,USD,200000,US,100,US,L
2021,SE,FT,Data Engineering Manager,174000,USD,174000,US,100,US,L
2021,MI,FT,Data Analyst,93000,USD,93000,US,100,US,L
2021,EN,FT,Data Scientist,2100000,INR,28475,IN,100,IN,M
2021,SE,FT,Research Scientist,51400,EUR,61270,PT,50,PT,L
2021,EN,FT,Data Scientist,90000,USD,90000,US,100,US,S
2021,SE,FT,Principal Data Analyst,170000,USD,170000,US,100,US,M
2021,SE,FT,Data Engineer,70000,GBP,96833,GB,50,GB,L
2021,MI,FT,Data Engineer,108000,TRY,13105,TR,0,TR,M
2021,EN,FT,Data Scientist,31000,EUR,36952,FR,50,FR,L
2021,MI,FT,Data Engineer,52500,GBP,72625,GB,50,GB,L
2021,SE,FT,Big Data Architect,125000,CAD,99956,CA,50,CA,M
2021,SE,FT,Data Scientist,165000,USD,165000,US,100,US,L
2021,MI,FT,Data Analyst,80000,USD,80000,US,100,US,L
2021,SE,FT,Data Scientist,130000,CAD,103954,CA,100,CA,L
2021,EN,FT,Data Engineer,1600000,INR,21695,IN,50,IN,M
2021,MI,FT,Research Scientist,80000,CAD,63971,CA,100,CA,M
2021,MI,FT,Head of Data Science,110000,USD,110000,US,0,US,S
2021,MI,FT,Data Architect,180000,USD,180000,US,100,US,L
2021,SE,FT,Data Analyst,200000,USD,200000,US,100,US,L
2021,SE,FT,Director of Data Engineering,200000,USD,200000,US,100,US,L
2021,SE,FT,ML Engineer,256000,USD,256000,US,100,US,S
2021,MI,FT,Data Engineer,110000,USD,110000,US,100,US,L
2021,EN,FT,Data Engineer,72500,USD,72500,US,100,US,L
2021,SE,FT,Machine Learning Engineer,185000,USD,185000,US,50,US,L
2021,MI,PT,Data Engineer,59000,EUR,70329,NL,100,NL,L
2021,EN,FT,Research Scientist,100000,USD,100000,JE,0,CN,L
2021,MI,FT,Data Engineer,112000,USD,112000,US,100,US,L
2021,SE,FT,Data Scientist,180000,TRY,21843,TR,50,TR,L
2021,SE,FT,AI Scientist,55000,USD,55000,ES,100,ES,L
2021,EN,FT,Data Scientist,58000,USD,58000,US,50,US,L
2021,EN,FT,Data Scientist,100000,USD,100000,US,100,US,M
2021,SE,FT,Data Scientist,65720,EUR,78340,FR,50,FR,M
2021,EN,FT,Machine Learning Engineer,85000,USD,85000,NL,100,DE,S
2021,EN,FT,Data Science Consultant,65000,EUR,77481,DE,0,DE,L
2021,SE,CT,Staff Data Scientist,105000,USD,105000,US,100,US,M
2021,EN,FT,Data Engineer,55000,EUR,65561,DE,50,DE,M
2021,MI,FT,Data Engineer,250000,TRY,30337,TR,100,TR,M
2021,MI,FT,Data Engineer,111775,USD,111775,US,0,US,M
2021,MI,FT,Data Engineer,93150,USD,93150,US,0,US,M
2021,SE,FT,Lead Data Engineer,160000,USD,160000,PR,50,US,S
2021,MI,FT,Data Scientist,21600,EUR,25747,RS,100,DE,S
2021,SE,FT,Machine Learning Engineer,4900000,INR,66442,IN,0,IN,L
2021,MI,FT,Data Scientist,1250000,INR,16949,IN,100,IN,S
2021,SE,FT,Data Analyst,54000,EUR,64369,DE,50,DE,L
2021,EX,FT,Director of Data Science,120000,EUR,143043,DE,0,DE,L
2021,EN,FT,Big Data Engineer,1200000,INR,16271,IN,100,IN,L
2021,SE,FT,Data Analyst,90000,CAD,71968,CA,100,CA,M
2021,SE,FT,Data Scientist,135000,USD,135000,US,0,US,L
2021,EN,FT,Machine Learning Engineer,21000,EUR,25032,DE,50,DE,M
2021,SE,FT,Data Science Manager,4000000,INR,54238,IN,50,US,L
2021,SE,FT,Machine Learning Engineer,1799997,INR,24407,IN,100,IN,L
2021,EN,FT,BI Data Analyst,9272,USD,9272,KE,100,KE,S
2021,MI,FT,Data Scientist,147000,USD,147000,US,50,US,L
2021,SE,FT,Research Scientist,120500,CAD,96357,CA,50,CA,L
2021,SE,FT,Data Science Manager,174000,USD,174000,US,100,US,L
2021,EN,FT,Machine Learning Engineer,21844,USD,21844,CO,50,CO,M
2021,EX,FT,Data Science Consultant,59000,EUR,70329,FR,100,ES,S
2021,SE,FT,Data Analytics Engineer,50000,USD,50000,VN,100,GB,M
2021,MI,FT,Data Engineer,4000,USD,4000,IR,100,IR,M
2021,MI,FT,Data Engineer,22000,EUR,26224,RO,0,US,L
2021,MI,FT,Data Scientist,76760,EUR,91500,DE,50,DE,L
2021,MI,FT,Big Data Engineer,1672000,INR,22671,IN,0,IN,L
2021,MI,FT,Data Scientist,420000,INR,5695,IN,100,US,S
2021,EN,FT,Machine Learning Engineer,81000,USD,81000,US,50,US,S
2021,MI,FT,Data Scientist,30400000,CLP,40798,CL,100,CL,L
2021,MI,FT,Data Scientist,58000,MXN,2876,MX,0,MX,S
2021,EN,FT,Data Science Consultant,90000,USD,90000,US,100,US,S
2021,MI,FT,Data Scientist,52000,EUR,61985,DE,50,AT,M
2021,SE,FT,Machine Learning Infrastructure Engineer,195000,USD,195000,US,100,US,M
2021,MI,FT,Data Scientist,32000,EUR,38144,ES,100,ES,L
2021,EX,CT,Principal Data Scientist,416000,USD,416000,US,100,US,S
2021,SE,FT,Machine Learning Scientist,225000,USD,225000,US,100,CA,L
2021,MI,FT,Data Scientist,40900,GBP,56578,GB,50,GB,L
2021,MI,FT,Data Scientist,2500000,INR,33899,IN,0,IN,M
2021,MI,FT,Data Scientist,85000,GBP,117583,GB,50,GB,L
2021,MI,FT,Machine Learning Engineer,180000,PLN,47129,PL,100,PL,L
2021,MI,FT,Machine Learning Engineer,75000,EUR,89402,BE,100,BE,M
2021,EN,PT,Computer Vision Engineer,180000,DKK,28850,DK,50,DK,S
2021,MI,FT,Data Scientist,75000,EUR,89402,DE,50,DE,L
2021,MI,FT,Data Engineer,48000,GBP,66400,HK,50,GB,S
2021,MI,FT,Research Scientist,48000,EUR,57217,FR,50,FR,S
2021,MI,FT,Machine Learning Engineer,21000,EUR,25032,SI,50,SI,L
2021,SE,FT,Data Analytics Manager,120000,USD,120000,US,0,US,L
2021,MI,FL,Data Engineer,20000,USD,20000,IT,0,US,L
2021,SE,FT,Machine Learning Engineer,200000,USD,200000,US,100,US,L
2021,MI,FT,Data Scientist,160000,USD,160000,US,100,US,L
2021,SE,FT,Research Scientist,50000,USD,50000,FR,100,US,S
2021,MI,FT,Data Science Engineer,34000,EUR,40529,GR,100,GR,M
2021,EX,FT,Principal Data Engineer,600000,USD,600000,US,100,US,L
2021,MI,FT,Data Scientist,69600,BRL,13000,BR,0,BR,S
2021,SE,FT,Data Engineer,165000,USD,165000,US,0,US,M
2021,EN,FT,Big Data Engineer,435000,INR,5898,IN,0,CH,L
2021,SE,FT,Principal Data Engineer,185000,USD,185000,US,100,US,L
2021,MI,FT,Data Scientist,76760,EUR,91500,DE,50,DE,L
2021,SE,FT,Data Analytics Manager,140000,USD,140000,US,100,US,L
2021,SE,FT,Data Scientist,110000,CAD,87961,CA,100,CA,S
2021,SE,FT,Finance Data Analyst,45000,GBP,62250,GB,50,GB,L
2021,MI,FL,Machine Learning Scientist,12000,USD,12000,PK,50,PK,M
2021,SE,FT,Data Engineer,65000,EUR,77481,RO,50,GB,S
2021,MI,FT,Machine Learning Engineer,74000,USD,74000,JP,50,JP,S
2021,SE,FT,Data Science Manager,152000,USD,152000,US,100,FR,L
2021,MI,FT,Big Data Engineer,18000,USD,18000,MD,0,MD,S
2021,MI,FT,Data Scientist,130000,USD,130000,US,50,US,L
2021,SE,FT,Computer Vision Engineer,102000,BRL,19052,BR,0,BR,M
2021,EN,FT,Business Data Analyst,50000,EUR,59601,LU,100,LU,L
2021,SE,FT,Principal Data Scientist,147000,EUR,175228,DE,100,DE,M
2021,MI,FT,Data Scientist,39600,EUR,47204,ES,100,ES,M
2021,EN,FT,Data Scientist,4000,USD,4000,VN,0,VN,M
2021,EN,FT,AI Scientist,1335000,INR,18102,IN,100,AS,S
2021,MI,FT,Data Scientist,115000,USD,115000,US,50,US,L
2021,SE,FT,Principal Data Scientist,235000,USD,235000,US,100,US,L
2021,MI,FT,Lead Data Analyst,1450000,INR,19661,IN,100,IN,L
2021,EN,PT,AI Scientist,12000,USD,12000,BR,100,US,S
2021,MI,FT,Data Analyst,75000,USD,75000,US,0,US,L
2021,MI,FT,Data Analyst,62000,USD,62000,US,0,US,L
2021,MI,FT,Data Scientist,73000,USD,73000,US,0,US,L
2021,MI,FT,Data Engineer,38400,EUR,45773,NL,100,NL,L
2021,SE,FT,Director of Data Science,168000,USD,168000,JP,0,JP,S
2021,MI,FT,Data Scientist,160000,SGD,119353,SG,100,IL,M
2021,MI,FT,Applied Machine Learning Scientist,423000,USD,423000,US,50,US,L
2021,MI,FT,Data Engineer,24000,EUR,28608,MT,50,MT,L
2021,SE,FT,Data Specialist,165000,USD,165000,US,100,US,L
2021,MI,FT,Principal Data Scientist,151000,USD,151000,US,100,US,L
2021,SE,FT,Data Science Manager,7000000,INR,94917,IN,50,IN,L
